31101538,Literary,82.7
31101539,Literary,56.1
31101540,Literary,77.1
31101541,Literary,94.9
31101542,Literary,77.9
31101543,Literary,70.1
31101544,Literary,80
31101545,Literary,82.3
31101547,Literary,66.9
31101551,Literary,93.1
31101553,Literary,77.7
31101556,Literary,74.3
31101559,Literary,71
31101561,Literary,57.7
31101562,Literary,72
31101563,Literary,79
31101565,Literary,73.3
31101566,Literary,52.4
31101567,Literary,62.3
31101568,Literary,67.6
31101569,Literary,78.4
31101572,Literary,82.4
31101573,Literary,80.3
31101574,Literary,77.9
31101575,Literary,59.1
31101576,Literary,99.3
31101577,Literary,88.4
31101578,Literary,78.9
31101579,Literary,79.7
31101580,Literary,79.1
31101581,Literary,69.3
31101582,Literary,59.7
31101583,Literary,61.1
31101586,Literary,77.1
31101588,Literary,74.3
31101591,Literary,87.4
31101592,Literary,51.9
31101593,Literary,64.4
31101594,Literary,64
31101595,Literary,70
31101600,Literary,79.9
31101602,Literary,68.9
31101604,Literary,69.1
31101605,Literary,76
31101607,Literary,57.6
31101608,Literary,60.9
31101611,Literary,70.1
31101612,Literary,84.9
31101616,Literary,65
31101617,Literary,73.4
31101621,Literary,92
31101622,Literary,57.9
31101623,Literary,83.1
31101626,Literary,55.9
31101629,Literary,63.6
31101630,Literary,86.9
31101631,Literary,81.9
31101632,Literary,89
31101636,Literary,68.3
31101637,Literary,56.1
31101638,Literary,77
31101641,Literary,73.7
31101643,Literary,73.1
31101645,Literary,62.9
31101646,Literary,72.4
31101647,Literary,77.9
31101648,Literary,68.6
31101649,Literary,82.7
31101651,Literary,86.3
31101652,Literary,70.7
31101653,Literary,93.9
31101654,Literary,59.9
31101656,Literary,65.7
31101657,Literary,81.6
31101658,Literary,80.7
31101660,Literary,58.9
31101661,Literary,65.9
31101663,Literary,67.4
31101666,Literary,69.7
31101668,Literary,52.9
31101670,Literary,75.9
31101671,Literary,66.9
31101672,Literary,57
31101674,Literary,65
31101675,Literary,71.6
31101679,Literary,82.9
31101681,Literary,66.3
31101682,Literary,77
31101683,Literary,57.4
31101685,Literary,67.9
31101686,Literary,78
31101688,Literary,76.9
31101689,Literary,88.9
31101690,Literary,75.7
31101691,Literary,67.1
31101693,Literary,69.1
31101695,Literary,74.3
31101697,Literary,64.9
31101702,Literary,65.1
31101703,Literary,54
31101704,Literary,89.4
31101705,Literary,69.9
31101706,Literary,72
31101707,Literary,67.1
31101708,Literary,83.9
31101712,Literary,69.6
31101714,Literary,70.3
31101716,Literary,80.7
31101717,Literary,66.1
31101718,Literary,72.7
31101720,Literary,63.1
31101721,Literary,68.3
31101724,Literary,90.3
31101725,Literary,72.6
31101726,Literary,88.6
31101728,Literary,87
31101730,Literary,74.9
31101733,Literary,75.3
31101735,Literary,64.9
31101737,Literary,69.6
31101740,Literary,68.1
31101743,Literary,73.1
31101746,Literary,82.1
31101748,Literary,75
31101749,Literary,59.7
31101751,Literary,58.3
31101752,Literary,80.4
31101754,Literary,83.7
31101755,Literary,59.9
31101756,Literary,63.3
31101757,Literary,84.6
31101759,Literary,82.6
31101760,Literary,65.6
31101763,Literary,70.3
31101766,Literary,73
31101767,Literary,62.7
31101768,Literary,88.6
31101770,Literary,82.4
31101771,Literary,71.1
31101775,Literary,64
31101778,Literary,94
31101783,Literary,57.4
31101784,Literary,67.7
31101785,Literary,77
31101786,Literary,60.1
31101789,Literary,64.7
31101791,Literary,52.3
31101792,Literary,86.7
31101793,Literary,56
31101796,Literary,61.7
31101797,Literary,68.9
31101798,Literary,56.3
31101799,Literary,71.9
31101801,Literary,56.4
31101802,Literary,62
31101803,Literary,79.6
31101804,Literary,62.3
31101810,Literary,66.9
31101812,Literary,90.6
31101813,Literary,84.4
31101818,Literary,69.7
31101819,Literary,70.6
31101820,Literary,78.3
31101825,Literary,52.6
31101828,Literary,78
31101829,Literary,73.3
31101831,Literary,76.7
31101832,Literary,86.3
31101833,Literary,68.4
31101837,Literary,81.7
31101839,Literary,84.7
31101841,Literary,57.7
31101842,Literary,75.7
31101843,Literary,56.1
31101844,Literary,92.4
31101845,Literary,77
31101846,Literary,60.6
31101848,Literary,63.6
31101850,Literary,70.7
31101852,Literary,59.9
31101853,Literary,75.1
31101856,Literary,55.7
31101857,Literary,84
31101860,Literary,68.4
31101861,Literary,57.6
31101864,Literary,76.1
31101867,Literary,58.1
31101870,Literary,75
31101871,Literary,86
31101872,Literary,68.4
31101875,Literary,69.1
31101876,Literary,60.4
31101877,Literary,63
31101879,Literary,76.6
31101880,Literary,62.3
31101881,Literary,59.1
31101882,Literary,59.9
31101883,Literary,69.6
31101891,Literary,69.3
31101892,Literary,89.1
31101895,Literary,81.4
31101898,Literary,74.3
31101900,Literary,96.3
31101905,Literary,64.9
31101906,Literary,87.1
31101907,Literary,63.6
31101910,Literary,62.4
31101911,Literary,67
31101912,Literary,78
31101913,Literary,63.7
31101919,Literary,64.4
31101920,Literary,52.1
31101921,Literary,61.9
31101922,Literary,71.4
31101923,Literary,91.7
31101924,Literary,64.6
31101925,Literary,86
31101930,Literary,74.6
31101933,Literary,79.3
31101935,Literary,88
31101938,Literary,77.6
31101942,Literary,67.1
31101943,Literary,90.4
31101944,Literary,61.3
31101946,Literary,82.9
31101947,Literary,87.9
31101948,Literary,62.3
31101949,Literary,62
31101952,Literary,98
31101953,Literary,70.6
31101955,Literary,87.4
31101956,Literary,66.7
31101957,Literary,56.3
31101958,Literary,75.4
31101960,Literary,78
31101961,Literary,85
31101962,Literary,61
31101964,Literary,57.7
31101965,Literary,52.7
31101966,Literary,58.7
31101969,Literary,86.4
31101970,Literary,54.9
31101971,Literary,77
31101973,Literary,79.9
31101977,Literary,84
31101980,Literary,61.1
31101981,Literary,86.7
31101982,Literary,68.6
31101983,Literary,59.1
31101985,Literary,73.6
